idMeasure;dtDate;nmActivePower;nmAmbientTemp ;nmControllerHubTemp;nmControllerTopTemp;nmFrequency;nmGeneratorSpeed;nmRotorSpeed;nmWindSpeed; nmPressure;nmNacelleDir;nmNacelleTemp;nmProduciblePower;nmProduciblePowerVestas;idDevice
84;01/10/21 14:00;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
85;01/10/21 14:10;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
86;01/10/21 14:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
87;01/10/21 14:30;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
88;01/10/21 14:40;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
89;01/10/21 14:50;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
90;01/10/21 15:00;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
91;01/10/21 15:10;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
92;01/10/21 15:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
93;01/10/21 15:30;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
94;01/10/21 15:40;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
95;01/10/21 15:50;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
96;01/10/21 16:00;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
97;01/10/21 16:10;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
98;01/10/21 16:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
99;01/10/21 16:30;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
100;01/10/21 16:40;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
101;01/10/21 16:50;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
102;01/10/21 17:00;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
103;01/10/21 17:10;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
104;01/10/21 17:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
105;01/10/21 17:30;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
106;01/10/21 17:40;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
107;01/10/21 17:50;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
108;01/10/21 18:00;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
109;01/10/21 18:10;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
110;01/10/21 18:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
111;01/10/21 18:30;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
112;01/10/21 18:40;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
113;01/10/21 18:50;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
114;01/10/21 19:00;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
115;01/10/21 19:10;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
116;01/10/21 19:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
117;01/10/21 19:30;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
118;01/10/21 19:40;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
119;01/10/21 19:50;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
120;01/10/21 20:00;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
121;01/10/21 20:10;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
122;01/10/21 20:20;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;NV ;157
